----------------------------------------------------------------------------------------------------------------
Search Criteria:,
"     Fiscal Year: Active Projects,  2022,  2021,  2020,  2019,  2018,  2017,  2016,  2015,  2014,  2013,  2012,  2011,  2010,  2009,  2008,  2007,  2006,  2005,  2004,  2003,  2002,  2001,  2000,  1999,  1998,  1997,  1996,  1995,  1994,  1993,  1992,  1991,  1990,  1989,  1988,  1987,  1986,  1985"
"     Text Search: "Medical Scientist",  "MSTP" (or)"
"     Limit to: Project Title"
----------------------------------------------------------------------------------------------------------------
"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Administering IC","Application ID","Award Notice Date","FOA","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","Primary DUNS","Primary UEI","DUNS Number","UEI","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"Health Disparities; Minority Health","Medical;Scientist;Training Programs","Medical Scientist Training Program","The goal of Columbia University's MD-PhD Program is to provide outstanding training in
scientific research that will benefit human health, along with exceptional training in principles
and practice of medicine and patient care. Because of growing complexity of both science and
medicine, it has been challenging to rapidly apply cutting-edge scientific discoveries into better
diagnosis and treatments. Training modern physician-scientists through an integrated MD-PhD
dual-degree program should, therefore, be of substantial benefit to human health.","NIGMS","9518933","6/27/2018 12:00:00 AM","PA-16-152","5T32GM007367-43","5","T32","GM","007367","43"," ","GINDHART, JOSEPH G","11/1/1976 12:00:00 AM","6/30/2022 12:00:00 AM","Training and Workforce Development Study Section - B[TWD-B]"," ","1864040","REINER, STEVEN L","Not Applicable","13","MICROBIOLOGY/IMMUN/VIROLOGY","621889815","QHF5ZZ114M72","621889815","QHF5ZZ114M72","US","40.841253","-73.940404","1833205","COLUMBIA UNIVERSITY HEALTH SCIENCES","NEW YORK","NY","SCHOOLS OF MEDICINE","100323725","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NIGMS","1245600","57648"," ","1303248",
"Health Disparities; Minority Health","Medical;Scientist;Training Programs","Medical Scientist Training Program","PUBLIC HEALTH RELEVANCE: The Stony Brook School of Medicine is committed to the training of future physician-scientists to address a pressing need for individuals who can undertake scientific discovery with direct relevance to human health. Trainees undertake a rigorous academic program that culminates in the awarding of an MD and a PhD and many go on to become leaders in biomedical research.","NIGMS","9517971","6/8/2018 12:00:00 AM","PA-14-015","5T32GM008444-27","5","T32","GM","008444","27"," ","MAAS, STEFAN","7/1/1992 12:00:00 AM","6/30/2020 12:00:00 AM","ZGM1-TWD-9(CO)"," ","1879382","FROHMAN, MICHAEL A.","Not Applicable","01","PHARMACOLOGY","804878247","M746VC6XMNH9","804878247","M746VC6XMNH9","US","40.907353","-73.128565","5992612","STATE UNIVERSITY NEW YORK STONY BROOK","STONY BROOK","NY","SCHOOLS OF MEDICINE","117943362","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NIGMS","448416","20753"," ","469169",
"Health Disparities; Minority Health","Medical;Scientist;Training Programs","Medical Scientist Training Program","PUBLIC HEALTH RELEVANCE: MSTP Project Narrative Progress towards solving major health problems will require a steady source of well-trained new investigators who have the clinical background to appreciate major medical issues and the research skills to tackle them. Over the years, MD-PhD programs have proven to be a highly effective way to train such investigators. We seek here funding to continue a highly successful MD-PhD Program at The Johns Hopkins University School of Medicine.","NIGMS","9517951","6/8/2018 12:00:00 AM","PA-14-015","5T32GM007309-44","5","T32","GM","007309","44"," ","GINDHART, JOSEPH G","7/1/1975 12:00:00 AM","6/30/2020 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","7289265","COX, ANDREA L","Not Applicable","07","INTERNAL MEDICINE/MEDICINE","001910777","FTMTDMBR29C7","001910777","FTMTDMBR29C7","US","39.329164","-76.617855","4134401","JOHNS HOPKINS UNIVERSITY","BALTIMORE","MD","SCHOOLS OF MEDICINE","212182680","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NIGMS","1793664","83013"," ","1876677",
"Health Disparities; Minority Health","Medical;Scientist;Training Programs","Medical Scientist Training Program","PUBLIC HEALTH RELEVANCE: The Medical Scientist Training Program at the University of Virginia strives to train individuals who will be both outstanding physicians and scientists, and who will pioneer major advances in medical practice through research.","NIGMS","9520110","6/28/2018 12:00:00 AM","PA-14-015","5T32GM007267-40","5","T32","GM","007267","40"," ","GINDHART, JOSEPH G","7/1/1977 12:00:00 AM","6/30/2020 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1930361","KEDES, DEAN H","Not Applicable","05","PHYSIOLOGY","065391526","JJG6HU8PA4S5","065391526","JJG6HU8PA4S5","US","38.034207","-78.512346","1526402","UNIVERSITY OF VIRGINIA","CHARLOTTESVILLE","VA","SCHOOLS OF MEDICINE","229044195","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NIGMS","597888","27671"," ","625559",
"Health Disparities; Minority Health","Medical;Scientist;Training Programs","Medical Scientist Training Program","Project Narrative
Clinical disorders, such as Alzheimers, auto-immunity, diabetes, cancer, hypertension, obesity
and genetic diseases result in significant human suffering, and unnecessary morbidity and
mortality. To mitigate the negative impact of these diseases, it is critical to train a cadre of
physician-scientists who can identify the most important questions in medicine, and then apply
the most rigorous scientific investigation tools to discover disease mechanism, novel treatments,
and optimal prevention strategies. Trainees supported by this grant will become the future
biomedical physician-scientists who will work towards increasing our understanding of
fundamental pathogenesis of disease and cutting-edge approaches to treat patients.","NIGMS","9489031","7/1/2018 12:00:00 AM","PA-16-152","2T32GM008497-26","2","T32","GM","008497","26"," ","GINDHART, JOSEPH G","7/1/1993 12:00:00 AM","6/30/2023 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1863666","GUTIERREZ-HARTMANN, ARTHUR ","DI PAOLA, JORGE A","06","INTERNAL MEDICINE/MEDICINE","041096314","MW8JHK6ZYEX8","041096314","MW8JHK6ZYEX8","US","39.708143","-104.724958","1199905","UNIVERSITY OF COLORADO DENVER","Aurora","CO","SCHOOLS OF MEDICINE","800452570","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NIGMS","797184","36895"," ","834079",
"Health Disparities; Minority Health","Medical;Scientist;Training Programs","Medical Scientist Training Program","PROJECT NARRATIVE
Physician-scientists perform a critical role at the interface between basic biomedical research and clinical
medicine. This program will train a diverse group of outstanding students and prepare them to enter the
biomedical research workforce as physician-scientists who will perform basic, translational, and clinical
research. This research will lead to new treatments to prevent or cure disease and improve the health of all
Americans.","NIGMS","9488665","7/1/2018 12:00:00 AM","PA-16-152","2T32GM007288-45","2","T32","GM","007288","45"," ","MAAS, STEFAN","7/1/1975 12:00:00 AM","12/31/2018 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1859306","AKABAS, MYLES H.","Not Applicable","14","Unavailable","079783367"," ","079783367"," ","US"," "," ","10039582","ALBERT EINSTEIN COLLEGE OF MEDICINE, INC","BRONX","NY","Other Domestic Non-Profits","104611975","UNITED STATES","N","7/1/2018 12:00:00 AM","12/31/2018 12:00:00 AM","859","Training, Institutional","2018"," "," ","NIGMS","1214865","37979"," ","1252844",
"Health Disparities; Minority Health","Medical;Scientist;Training Programs","Medical Scientist Training Program","PUBLIC HEALTH RELEVANCE:  The Vanderbilt Medical Scientist Training Program supports the training of physician-scientists who seek to improve human health through basic, translational, or clinical research. The broad public health significance of this program will be realized through the academic and scholarly accomplishments of the trainees, with connections to both the direct treatment of patients in the clinical setting and the discovery of basic disease
mechanisms and new therapeutic agents.","NIGMS","9518920","6/8/2018 12:00:00 AM","PA-11-184","5T32GM007347-40","5","T32","GM","007347","40"," ","GINDHART, JOSEPH G","7/1/1977 12:00:00 AM","6/30/2019 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","7056252","WILLIAMS, CHRISTOPHER S.","Not Applicable","05","PEDIATRICS","965717143","GTNBNWXJ12D5","965717143","GTNBNWXJ12D5","US","36.140134","-86.796274","8721001","VANDERBILT UNIVERSITY","Nashville","TN","SCHOOLS OF MEDICINE","372032408","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NIGMS","1195776","55342"," ","1188535",
"Health Disparities; Minority Health","Medical;Scientist;Training Programs","Medical Scientist Training Program","PROJECT NARRATIVE
Modern biomedical research is generating extensive information about the molecular basis of disease that will
require individuals formally trained in both basic research and clinical medicine to advance this knowledge into
discoveries that impact the human outcomes of disease. The goal of our multi-institutional MD/PhD Program is
to pursue novel training of a diverse group of intellectually gifted students for careers as physician-scientists
focused on disease-oriented research and bridging the knowledge gap between medicine and basic science.","NIGMS","9581954","7/1/2018 12:00:00 AM","PA-16-152","1T32GM129462-01","1","T32","GM","129462","01"," ","MAAS, STEFAN","7/1/2018 12:00:00 AM","6/30/2023 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1889711","MILEWICZ, DIANNA M","Not Applicable","09","INTERNAL MEDICINE/MEDICINE","800771594","ZUFBNVZ587D4","800771594","ZUFBNVZ587D4","US","29.798149","-95.369119","578417","UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON","HOUSTON","TX","SCHOOLS OF MEDICINE","770305400","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NIGMS","164756","9224"," ","173980",
"Health Disparities; Minority Health","Medical;Scientist;Training Programs","Medical Scientist Training Program","PROJECT NARRATIVE
The ability to understand disease processes and translate this knowledge into innovative and effective
approaches to ameliorate disease can be best provided by individuals formally trained in both in basic
science and clinical medicine. Furthermore, there is a need for more clinicians with epidemiology training
who are able to understand and evaluate the incidence, distribution and determinants of health and disease
in populations, as well as assess the impact of treatments and healthcare policy. Thus, the goal of the MD-
PhD Training Program at the University of Miami Miller School of Medicine is to train future physician
scientists who will be positioned to pursue careers in both basic and patient oriented research and bring
new ideas and innovative approaches to the prevention and treatment of disease.","NIGMS","9518974","6/8/2018 12:00:00 AM","PA-14-015","5T32GM112601-02","5","T32","GM","112601","02"," ","GINDHART, JOSEPH G","7/1/2017 12:00:00 AM","6/30/2022 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1880272","LEMMON, SANDRA K.","Not Applicable","27","PHARMACOLOGY","052780918","F8THLJQSAF93","052780918","F8THLJQSAF93","US","25.775337","-80.209809","5221250","UNIVERSITY OF MIAMI SCHOOL OF MEDICINE","CORAL GABLES","FL","SCHOOLS OF MEDICINE","331462926","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NIGMS","199296","9224"," ","208520",
"Health Disparities; Minority Health","Medical;Scientist;Training Programs","Medical Scientist Training Program","PUBLIC HEALTH RELEVANCE:  The goal of the UCI Medical Scientist Training Program (MSTP) is to train students as biomedical research scientists who will make advances to improve the diagnosis, understanding and treatment of human disease. Students obtain research training and complete their Ph.D. degree in any of the graduate programs at UCI, and they obtain clinical training and obtain their M.D. degree in the UCI School of Medicine. The program utilizes a flexible, independently designed curriculum for the students and provides additional activities to bridge the research and clinical fields.","NIGMS","9517958","5/21/2018 12:00:00 AM","PA-11-184","5T32GM008620-20","5","T32","GM","008620","20"," ","MAAS, STEFAN","7/1/1999 12:00:00 AM","6/30/2019 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1882112","GOLDIN, ALAN L","Not Applicable","45","MICROBIOLOGY/IMMUN/VIROLOGY","046705849","MJC5FCYQTPE6","046705849","MJC5FCYQTPE6","US","33.678042","-117.773718","577504","UNIVERSITY OF CALIFORNIA-IRVINE","IRVINE","CA","SCHOOLS OF MEDICINE","926970001","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NIGMS","448416","20753"," ","465235",
"Health Disparities; Minority Health","Medical;Scientist;Training Programs","Medical Scientist Training Program","PUBLIC HEALTH RELEVANCE: We are in the midst of a dynamic era of biomedical research. The quickening pace of scientific discovery demands a new generation of physician-scientists who are able to understand the languages that are spoken both in the research setting and at the bedside. Using this knowledge, these individuals will be ideally positioned to make significant contributions to and improvements in human health, and thereby become the next generation of leaders in biomedical science.","NIGMS","9517902","6/30/2018 12:00:00 AM","PA-11-184","5T32GM008719-20","5","T32","GM","008719","20"," ","GINDHART, JOSEPH G","7/1/1999 12:00:00 AM","6/30/2019 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","6721519","DESHMUKH, MOHANISH P","DARVILLE, TONI ","04","INTERNAL MEDICINE/MEDICINE","608195277","D3LHU66KBLD5","608195277","D3LHU66KBLD5","US","35.926939","-79.038605","578206","UNIV OF NORTH CAROLINA CHAPEL HILL","CHAPEL HILL","NC","SCHOOLS OF MEDICINE","275995023","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NIGMS","747360","34589"," ","745731",
"Health Disparities; Minority Health","Medical;Scientist;Training Programs","Medical Scientist Training Program","PUBLIC HEALTH RELEVANCE: The goal of the Medical Scientist Training Program (MSTP) at Baylor College of Medicine (BCM) is to develop the future leaders in academic medicine and biomedical research through completion of rigorous, integrated MD and PhD training programs carried out in a dynamic research environment with state of the art medical facilities.","NIGMS","9485957","6/8/2018 12:00:00 AM","PA-14-015","5T32GM007330-42","5","T32","GM","007330","42"," ","MAAS, STEFAN","7/1/1977 12:00:00 AM","6/30/2020 12:00:00 AM","ZGM1-TWD-C(TR)"," ","1868704","PLON, SHARON E.","Not Applicable","09","PEDIATRICS","051113330","FXKMA43NTV21","051113330","FXKMA43NTV21","US","29.711148","-95.39695","481201","BAYLOR COLLEGE OF MEDICINE","HOUSTON","TX","SCHOOLS OF MEDICINE","770303411","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NIGMS","890420","46118"," ","936538",
"Health Disparities; Minority Health","Medical;Scientist;Training Programs","Medical Scientist Training Program","Project Narrative
The need for investigators who are well trained in both basic science and clinical research has been and
continues to be an unmet need. NIGMS Medical Scientist Training Programs (MSTP) were developed to meet
the need for more physician scientists and offer unique training opportunities. The UCCOM MSTP has been
successful with 79% its graduates in careers consistent with their training as physician scientists.","NIGMS","9416461","7/1/2018 12:00:00 AM","PA-16-152","2T32GM063483-16","2","T32","GM","063483","16"," ","GINDHART, JOSEPH G","7/1/2002 12:00:00 AM","6/30/2023 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1932987","KHURANA HERSHEY, GURJIT K.","Not Applicable","01","PEDIATRICS","041064767","DZ4YCZ3QSPR5","041064767","DZ4YCZ3QSPR5","US","39.142998","-84.503581","1523902","UNIVERSITY OF CINCINNATI","CINCINNATI","OH","SCHOOLS OF MEDICINE","452210001","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NIGMS","364977","18447"," ","383424",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","The goal of Columbia University's MD-PhD Program is to provide outstanding training in
scientific research that will benefit human health, along with exceptional training in principles
and practice of medicine and patient care. Because of growing complexity of both science and
medicine, it has been challenging to rapidly apply cutting-edge scientific discoveries into better
diagnosis and treatments. Training modern physician-scientists through an integrated MD-PhD
dual-degree program should, therefore, be of substantial benefit to human health.","NIGMS","9743409","7/12/2018 12:00:00 AM","PA-16-152","3T32GM007367-43S1","3","T32","GM","007367","43","S","GINDHART, JOSEPH G","11/1/1976 12:00:00 AM","6/30/2022 12:00:00 AM","Training and Workforce Development Study Section - B[TWD-B]"," ","1864040","REINER, STEVEN L","Not Applicable","13","MICROBIOLOGY/IMMUN/VIROLOGY","621889815","QHF5ZZ114M72","621889815","QHF5ZZ114M72","US","40.841253","-73.940404","1833205","COLUMBIA UNIVERSITY HEALTH SCIENCES","NEW YORK","NY","SCHOOLS OF MEDICINE","100323725","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NCATS","49824","2306"," ","52130",
"Neurosciences","Medical;Scientist;Training Programs","Medical Scientist Training Program","PUBLIC HEALTH RELEVANCE: MSTP Project Narrative Progress towards solving major health problems will require a steady source of well-trained new investigators who have the clinical background to appreciate major medical issues and the research skills to tackle them. Over the years, MD-PhD programs have proven to be a highly effective way to train such investigators. We seek here funding to continue a highly successful MD-PhD Program at The Johns Hopkins University School of Medicine.","NIGMS","9710478","6/30/2018 12:00:00 AM","PA-14-015","3T32GM007309-44S1","3","T32","GM","007309","44","S","GINDHART, JOSEPH G","7/1/1975 12:00:00 AM","6/30/2020 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","7289265","COX, ANDREA L","Not Applicable","07","INTERNAL MEDICINE/MEDICINE","001910777","FTMTDMBR29C7","001910777","FTMTDMBR29C7","US","39.329164","-76.617855","4134401","JOHNS HOPKINS UNIVERSITY","BALTIMORE","MD","SCHOOLS OF MEDICINE","212182680","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NINDS","99648","4612"," ","104260",
"Neurosciences","Medical;Scientist;Training Programs","Medical Scientist Training Program","PUBLIC HEALTH RELEVANCE: MSTP Project Narrative Progress towards solving major health problems will require a steady source of well-trained new investigators who have the clinical background to appreciate major medical issues and the research skills to tackle them. Over the years, MD-PhD programs have proven to be a highly effective way to train such investigators. We seek here funding to continue a highly successful MD-PhD Program at The Johns Hopkins University School of Medicine.","NIGMS","9710478","6/30/2018 12:00:00 AM","PA-14-015","3T32GM007309-44S1","3","T32","GM","007309","44","S","GINDHART, JOSEPH G","7/1/1975 12:00:00 AM","6/30/2020 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","7289265","COX, ANDREA L","Not Applicable","07","INTERNAL MEDICINE/MEDICINE","001910777","FTMTDMBR29C7","001910777","FTMTDMBR29C7","US","39.329164","-76.617855","4134401","JOHNS HOPKINS UNIVERSITY","BALTIMORE","MD","SCHOOLS OF MEDICINE","212182680","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NICHD","49824","2306"," ","52130",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","PUBLIC HEALTH RELEVANCE: We are in the midst of a dynamic era of biomedical research. The quickening pace of scientific discovery demands a new generation of physician-scientists who are able to understand the languages that are spoken both in the research setting and at the bedside. Using this knowledge, these individuals will be ideally positioned to make significant contributions to and improvements in human health, and thereby become the next generation of leaders in biomedical science.","NIGMS","9710474","7/1/2018 12:00:00 AM","PA-11-184","3T32GM008719-20S1","3","T32","GM","008719","20","S","GINDHART, JOSEPH G","7/1/1999 12:00:00 AM","6/30/2019 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","6721519","DESHMUKH, MOHANISH P","DARVILLE, TONI ","04","INTERNAL MEDICINE/MEDICINE","608195277","D3LHU66KBLD5","608195277","D3LHU66KBLD5","US","35.926939","-79.038605","578206","UNIV OF NORTH CAROLINA CHAPEL HILL","CHAPEL HILL","NC","SCHOOLS OF MEDICINE","275995023","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NIAID","99648","4612"," ","104260",
"Mental Health","Medical;Scientist;Training Programs","Medical Scientist Training Program","PROJECT NARRATIVE
The ability to understand disease processes and translate this knowledge into innovative and effective
approaches to ameliorate disease can be best provided by individuals formally trained in both in basic
science and clinical medicine. Furthermore, there is a need for more clinicians with epidemiology training
who are able to understand and evaluate the incidence, distribution and determinants of health and disease
in populations, as well as assess the impact of treatments and healthcare policy. Thus, the goal of the MD-
PhD Training Program at the University of Miami Miller School of Medicine is to train future physician
scientists who will be positioned to pursue careers in both basic and patient oriented research and bring
new ideas and innovative approaches to the prevention and treatment of disease.","NIGMS","9664792","6/11/2018 12:00:00 AM","PA-14-015","3T32GM112601-02S1","3","T32","GM","112601","02","S","GINDHART, JOSEPH G","7/1/2017 12:00:00 AM","6/30/2022 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1880272","LEMMON, SANDRA K.","Not Applicable","27","PHARMACOLOGY","052780918","F8THLJQSAF93","052780918","F8THLJQSAF93","US","25.775337","-80.209809","5221250","UNIVERSITY OF MIAMI SCHOOL OF MEDICINE","CORAL GABLES","FL","SCHOOLS OF MEDICINE","331462926","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NIMH","49824","2306"," ","52130",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","Project Narrative
 The mission of the Yale University MD-PhD Program is to prepare students for successful careers as
physician-scientists. Since 1971, 310 students have graduated with MD-PhD degrees, with the majority now
holding positions as academic physician-scientists (61%) or post-doctoral trainees in academic medicine or
science (21%). This application details innovative approaches that strengthen and integrate research and
clinical training for our students, and outlines strategies that will further improve our ability to recruit and
educate trainees from groups currently underrepresented in the fields of academic medical science.","NIGMS","9699616","6/30/2018 12:00:00 AM","PA-18-756","3T32GM007205-44S1","3","T32","GM","007205","44","S","GINDHART, JOSEPH G","7/1/1975 12:00:00 AM","6/30/2020 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1925241","KAZMIERCZAK, BARBARA I","Not Applicable","03","INTERNAL MEDICINE/MEDICINE","043207562","FL6GV84CKN57","043207562","FL6GV84CKN57","US","41.303164","-72.931644","9420201","YALE UNIVERSITY","NEW HAVEN","CT","SCHOOLS OF MEDICINE","065208327","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NCATS","49824","2306"," ","52130",
"Health Disparities; Minority Health","Medical;Scientist;Training Programs","Medical Scientist Training Program","PUBLIC HEALTH RELEVANCE: This grant proposal will support the Medical Scientist Training Program (MSTP) at the University of Maryland School of Medicine. The mission of the University of Maryland MSTP is to provide outstanding, aspiring medical scientists with superior scientific and medical training. This training will serve the nation by developing experienced Physician Scientists who can accelerate the progress of biomedical research from the laboratory to the direct benefit of patients.","NIGMS","9517930","6/8/2018 12:00:00 AM","PA-14-015","5T32GM092237-09","5","T32","GM","092237","09"," ","GINDHART, JOSEPH G","7/1/2010 12:00:00 AM","6/30/2020 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","2873560","ROGHMANN, MARY-CLAIRE ","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","188435911","Z9CRZKD42ZT1","188435911","Z9CRZKD42ZT1","US","39.291412","-76.624753","820104","UNIVERSITY OF MARYLAND BALTIMORE","BALTIMORE","MD","SCHOOLS OF MEDICINE","212011508","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NIGMS","398592","18447"," ","417039",
"Health Disparities; Minority Health","Medical;Scientist;Training Programs","Medical Scientist Training Program","8. PROJECT NARRATIVE
There is a need to train physician-scientists with an excellent foundation in both biomedical research and
clinical medicine in order to gain a more detailed understanding of disease. The Duke Medical Scientist
Training Program seeks to train MD-PhD candidates in both medicine and science through a unique curriculum
that provides students with comprehensive clinical training prior to their PhD training. Through this program,
Duke MSTP students will be poised to translate scientific discoveries into therapies for human disease.","NIGMS","9518926","6/8/2018 12:00:00 AM","PA-16-152","5T32GM007171-44","5","T32","GM","007171","44"," ","GINDHART, JOSEPH G","7/1/1975 12:00:00 AM","6/30/2022 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1902570","KONTOS, CHRISTOPHER D","Not Applicable","04","INTERNAL MEDICINE/MEDICINE","044387793","TP7EK8DZV6N5","044387793","TP7EK8DZV6N5","US","36.006824","-78.924579","2221101","DUKE UNIVERSITY","DURHAM","NC","SCHOOLS OF MEDICINE","277054673","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NIGMS","1195776","55342"," ","1251118",
"Health Disparities; Minority Health","Medical;Scientist;Training Programs","Medical Scientist Training Program","PUBLIC HEALTH RELEVANCE: The rapid advances in biomedical sciences of the past 30 years has resulted in a critical need for well trained investigators who also have direct involvement with clinical Medicine to translate the multiple new discoveries in biomedical science into workable clinical applications. Joint MD/PhD training of the most outstanding individuals in both modern medicine and the special intellectual perspective and technical know-how of basic biomedical science is a key component of meeting this need.","NIGMS","9486942","6/27/2018 12:00:00 AM","PA-14-015","5T32GM008361-27","5","T32","GM","008361","27"," ","GINDHART, JOSEPH G","7/1/1992 12:00:00 AM","6/30/2020 12:00:00 AM","ZGM1-TWD-C(TR)"," ","6198118","GEISLER, WILLIAM M","YACOUBIAN, TALENE ALENE","07","PATHOLOGY","063690705","YND4PLMC9AN7","063690705","YND4PLMC9AN7","US","33.506935","-86.809252","1288803","UNIVERSITY OF ALABAMA AT BIRMINGHAM","BIRMINGHAM","AL","SCHOOLS OF MEDICINE","352940001","UNITED STATES","N","7/1/2018 12:00:00 AM","6/30/2019 12:00:00 AM","859","Training, Institutional","2018"," "," ","NIGMS","711315","34589"," ","745904",
"No NIH Category available","Alabama;American;Area;Chicago;Doctor of Philosophy;Event;Exposure to;Faculty;Fostering;Funding;Future;Goals;Grant;Historically Black Colleges and Universities;Home environment;Institution;Location;Louisiana;Medical;Medicine;Mentors;Mississippi;National Institute of General Medical Sciences;Oral;Physicians;Reporting;Request for Applications;Research;Scientist;Students;Tennessee;Training;Training Programs;Travel;United States;United States National Institutes of Health;Universities;career;career development;cost;educational atmosphere;improved;interest;leadership development;meetings;news;peer;posters;programs;social;student conference;student participation;symposium;trend;undergraduate student;university student","Southeastern Medical Scientist Symposium","Narrative
An emphasis on training and career development of physician-scientists is critical to
maintaining and improving the biomedical workforce, as in recent decades the number of
physicians who conduct scientific research has been in decline. The Southeastern Medical
Scientist Symposium (SEMSS) will provide a venue to foster connections between and
enhance training for MD/PhD students at multiple institutions across the Southeast. In
addition, the SEMSS will foster excitement among undergraduate students about careers in
academic medicine, with a goal of increasing the pipeline of future physician-scientists.","NIGMS","9455756","1/29/2018 12:00:00 AM","PA-16-294","5R13GM109532-05","5","R13","GM","109532","05"," ","SESMA, MICHAEL A","3/17/2017 12:00:00 AM","1/31/2022 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1873609","LORENZ, ROBINNA G.","Not Applicable","07","PATHOLOGY","063690705","YND4PLMC9AN7","063690705","YND4PLMC9AN7","US","33.506935","-86.809252","1288803","UNIVERSITY OF ALABAMA AT BIRMINGHAM","BIRMINGHAM","AL","SCHOOLS OF MEDICINE","352940001","UNITED STATES","N","2/1/2018 12:00:00 AM","1/31/2019 12:00:00 AM","859","Other Research-Related","2018"," "," ","NIGMS","5000","0"," ","5000",
